!TRNS	TRNSID	TRNSTYPE	DATE	ACCNT	NAME	AMOUNT	DOCNUM	MEMO	NAMEISTAXABLE	ADDR1	ADDR2	ADDR3	ADDR4	DUEDATE	TERMS	PAID
!SPL	SPLID	TRNSTYPE	DATE	ACCNT	NAME	AMOUNT	DOCNUM	MEMO	PRICE	INVITEM	PAYMETH	TAXABLE	VALADJ	TAXCODE	TAXAMOUNT	TAXITEM
!ENDTRNS																
SPL	709	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	710	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	712	TAX INVOICE	02/28/13	Accounts Receivable	"Fairfax Media - Marketplaces"	0.00	9900183022813	9900183						03/28/13		
SPL	713	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	714	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	716	TAX INVOICE	02/28/13	Accounts Receivable	"Career Industry Council of Australia"	136.18	9900184022813	9900184						03/28/13		
SPL	717	TAX INVOICE	02/28/13	Conferencing		-123.80			123.80	Conferencing		Y		GST	-12.38	GST
SPL	718	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	720	TAX INVOICE	02/28/13	Accounts Receivable	"Girl Guides Australia Inc."	568.10	9900185022813	9900185						03/28/13		
SPL	721	TAX INVOICE	02/28/13	Conferencing		-486.45			486.45	Conferencing		Y		GST	-48.65	GST
SPL	722	TAX INVOICE	02/28/13	Other Income		-30.00			30.00	Other Income		Y		GST	-3.00	GST
ENDTRNS																
TRNS	724	TAX INVOICE	02/28/13	Accounts Receivable	"Association of Independent Schools of SA"	126.49	9900186022813	9900186						03/28/13		
SPL	725	TAX INVOICE	02/28/13	Conferencing		-114.99			114.99	Conferencing		Y		GST	-11.50	GST
SPL	726	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	728	TAX INVOICE	02/28/13	Accounts Receivable	"BEST Community Development"	0.00	9900187022813	9900187						03/28/13		
SPL	729	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	730	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	732	TAX INVOICE	02/28/13	Accounts Receivable	"Yokohama Tyres"	0.00	9900188022813	9900188						03/28/13		
SPL	733	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	734	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	736	TAX INVOICE	02/28/13	Accounts Receivable	"The Australasian Institute of Mining & Me"	0.00	9900189022813	9900189						03/28/13		
SPL	737	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	738	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	740	TAX INVOICE	02/28/13	Accounts Receivable	"Insolvency Practitioners Association of A"	958.27	9900190022813	9900190						03/28/13		
SPL	741	TAX INVOICE	02/28/13	Conferencing		-871.15			871.15	Conferencing		Y		GST	-87.12	GST
SPL	742	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	744	TAX INVOICE	02/28/13	Accounts Receivable	"Centennial Coal Company Limited"	0.00	9900191022813	9900191						03/28/13		
SPL	745	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	746	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	748	TAX INVOICE	02/28/13	Accounts Receivable	"Advantate Pty."	0.00	9900192022813	9900192						03/28/13		
SPL	749	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	750	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	752	TAX INVOICE	02/28/13	Accounts Receivable	"TRUST"	0.00	9900193022813	9900193						03/28/13		
SPL	753	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	754	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	756	TAX INVOICE	02/28/13	Accounts Receivable	"Loud Events"	0.00	9900194022813	9900194						03/28/13		
SPL	757	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	758	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	760	TAX INVOICE	02/28/13	Accounts Receivable	"Office of the Professional Standards Coun"	98.05	9900195022813	9900195						03/28/13		
SPL	761	TAX INVOICE	02/28/13	Conferencing		-89.14			89.14	Conferencing		Y		GST	-8.91	GST
SPL	762	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	764	TAX INVOICE	02/28/13	Accounts Receivable	"PGA of Australia Ltd"	228.03	9900196022813	9900196						03/28/13		
SPL	765	TAX INVOICE	02/28/13	Conferencing		-192.30			192.30	Conferencing		Y		GST	-19.23	GST
SPL	766	TAX INVOICE	02/28/13	Other Income		-15.00			15.00	Other Income		Y		GST	-1.50	GST
ENDTRNS																
TRNS	768	TAX INVOICE	02/28/13	Accounts Receivable	"Where To Now"	0.00	9900197022813	9900197						03/28/13		
SPL	769	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	770	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	772	TAX INVOICE	02/28/13	Accounts Receivable	"Australian Physiotherapy Association"	9310.27	9900198022813	9900198						03/28/13		
SPL	773	TAX INVOICE	02/28/13	Conferencing		-1772.68			1772.68	Conferencing		Y		GST	-177.27	GST
SPL	774	TAX INVOICE	02/28/13	Other Income		-6691.20			6691.20	Other Income		Y		GST	-669.12	GST
ENDTRNS																
TRNS	776	TAX INVOICE	02/28/13	Accounts Receivable	"Australian Computer Society"	780.23	9900199022813	9900199						03/28/13		
SPL	777	TAX INVOICE	02/28/13	Conferencing		-709.30			709.30	Conferencing		Y		GST	-70.93	GST
SPL	778	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	780	TAX INVOICE	02/28/13	Accounts Receivable	"Australian Meat Processor Corporation Ltd"	0.00	9900200022813	9900200						03/28/13		
SPL	781	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	782	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	784	TAX INVOICE	02/28/13	Accounts Receivable	"CAFBA "	202.61	9900201022813	9900201						03/28/13		
SPL	785	TAX INVOICE	02/28/13	Conferencing		-184.19			184.19	Conferencing		Y		GST	-18.42	GST
SPL	786	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	788	TAX INVOICE	02/28/13	Accounts Receivable	"We Rock"	138.57	9900202022813	9900202						03/28/13		
SPL	789	TAX INVOICE	02/28/13	Conferencing		-125.97			125.97	Conferencing		Y		GST	-12.60	GST
SPL	790	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	792	TAX INVOICE	02/28/13	Accounts Receivable	"Alliance Resources Limited"	0.00	9900203022813	9900203						03/28/13		
SPL	793	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	794	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	796	TAX INVOICE	02/28/13	Accounts Receivable	"Media Federation of Australia"	0.00	9900204022813	9900204						03/28/13		
SPL	797	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	798	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	800	TAX INVOICE	02/28/13	Accounts Receivable	"Australian Council for International Deve"	1842.83	9900205022813	9900205						03/28/13		
SPL	801	TAX INVOICE	02/28/13	Conferencing		-1670.30			1670.30	Conferencing		Y		GST	-167.03	GST
SPL	802	TAX INVOICE	02/28/13	Other Income		-5.00			5.00	Other Income		Y		GST	-0.50	GST
ENDTRNS																
TRNS	804	TAX INVOICE	02/28/13	Accounts Receivable	"Cystic Fibrosis Australia"	0.00	9900206022813	9900206						03/28/13		
SPL	805	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	806	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	808	TAX INVOICE	02/28/13	Accounts Receivable	"CCS Corporation Pty Ltd"	0.00	9900207022813	9900207						03/28/13		
SPL	809	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	810	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	812	TAX INVOICE	02/28/13	Accounts Receivable	"Field"	37.87	9900208022813	9900208						03/28/13		
SPL	813	TAX INVOICE	02/28/13	Conferencing		-19.43			19.43	Conferencing		Y		GST	-1.94	GST
SPL	814	TAX INVOICE	02/28/13	Other Income		-15.00			15.00	Other Income		Y		GST	-1.50	GST
ENDTRNS																
TRNS	816	TAX INVOICE	02/28/13	Accounts Receivable	"Law Institute of Victoria"	0.00	9900209022813	9900209						03/28/13		
SPL	817	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	818	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	820	TAX INVOICE	02/28/13	Accounts Receivable	"Meals On Wheels Association of NSW"	0.00	9900210022813	9900210						03/28/13		
SPL	821	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	822	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	824	TAX INVOICE	02/28/13	Accounts Receivable	"Christian Media Australia"	33.70	9900211022813	9900211						03/28/13		
SPL	825	TAX INVOICE	02/28/13	Conferencing		-30.64			30.64	Conferencing		Y		GST	-3.06	GST
SPL	826	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	828	TAX INVOICE	02/28/13	Accounts Receivable	"Designing Trade"	0.00	9900212022813	9900212						03/28/13		
SPL	829	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	830	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	832	TAX INVOICE	02/28/13	Accounts Receivable	"Hotel Motel and Accomodation Association"	0.00	9900213022813	9900213						03/28/13		
SPL	833	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	834	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	836	TAX INVOICE	02/28/13	Accounts Receivable	"Scott Corporation Limited"	527.75	9900214022813	9900214						03/28/13		
SPL	837	TAX INVOICE	02/28/13	Conferencing		-479.77			479.77	Conferencing		Y		GST	-47.98	GST
SPL	838	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	840	TAX INVOICE	02/28/13	Accounts Receivable	"Martin-Bower Australia Pty Ltd (formerly "	0.00	9900216022813	9900216						03/28/13		
SPL	841	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	842	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	844	TAX INVOICE	02/28/13	Accounts Receivable	"SIDS and Kids"	0.00	9900217022813	9900217						03/28/13		
SPL	845	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	846	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	848	TAX INVOICE	02/28/13	Accounts Receivable	"Property Council of Australia NSW"	0.00	9900218022813	9900218						03/28/13		
SPL	849	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	850	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	852	TAX INVOICE	02/28/13	Accounts Receivable	"Riding Pony Stud Book Society"	0.00	9900219022813	9900219						03/28/13		
SPL	853	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	854	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	856	TAX INVOICE	02/28/13	Accounts Receivable	"Australian Dental Association Victorian B"	0.00	9900220022813	9900220						03/28/13		
SPL	857	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	858	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	860	TAX INVOICE	02/28/13	Accounts Receivable	"SOCAP Australia"	339.36	9900221022813	9900221						03/28/13		
SPL	861	TAX INVOICE	02/28/13	Conferencing		-308.51			308.51	Conferencing		Y		GST	-30.85	GST
SPL	862	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	864	TAX INVOICE	02/28/13	Accounts Receivable	"Lighting Council Australia"	0.00	9900222022813	9900222						03/28/13		
SPL	865	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	866	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	868	TAX INVOICE	02/28/13	Accounts Receivable	"Cambron Human Resources Consulting"	0.00	9900223022813	9900223						03/28/13		
SPL	869	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	870	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	872	TAX INVOICE	02/28/13	Accounts Receivable	"Aged and Community Services Association o"	442.22	9900224022813	9900224						03/28/13		
SPL	873	TAX INVOICE	02/28/13	Conferencing		-402.02			402.02	Conferencing		Y		GST	-40.20	GST
SPL	874	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	876	TAX INVOICE	02/28/13	Accounts Receivable	"Workskil Incorporated"	0.00	9900225022813	9900225						03/28/13		
SPL	877	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	878	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	880	TAX INVOICE	02/28/13	Accounts Receivable	"The Stroke Society of Australasia"	221.27	9900226022813	9900226						03/28/13		
SPL	881	TAX INVOICE	02/28/13	Conferencing		-201.15			201.15	Conferencing		Y		GST	-20.12	GST
SPL	882	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	884	TAX INVOICE	02/28/13	Accounts Receivable	"Monash University"	0.00	9900227022813	9900227						03/28/13		
SPL	885	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	886	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	888	TAX INVOICE	02/28/13	Accounts Receivable	"Craft Australia"	0.00	9900228022813	9900228						03/28/13		
SPL	889	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	890	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	892	TAX INVOICE	02/28/13	Accounts Receivable	"The Australian Evaluation Society"	0.00	9900229022813	9900229						03/28/13		
SPL	893	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	894	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	896	TAX INVOICE	02/28/13	Accounts Receivable	"Archicentre Ltd"	273.82	9900230022813	9900230						03/28/13		
SPL	897	TAX INVOICE	02/28/13	Conferencing		-248.93			248.93	Conferencing		Y		GST	-24.89	GST
SPL	898	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	900	TAX INVOICE	02/28/13	Accounts Receivable	"North Coast Community Housing"	166.90	9900231022813	9900231						03/28/13		
SPL	901	TAX INVOICE	02/28/13	Conferencing		-151.73			151.73	Conferencing		Y		GST	-15.17	GST
SPL	902	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	904	TAX INVOICE	02/28/13	Accounts Receivable	"FeelGood Guide"	0.00	9900232022813	9900232						03/28/13		
SPL	905	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	906	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	908	TAX INVOICE	02/28/13	Accounts Receivable	"Abex Training"	0.00	9900233022813	9900233						03/28/13		
SPL	909	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	910	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	912	TAX INVOICE	02/28/13	Accounts Receivable	"Keep Australia Beautiful National Associa"	0.00	9900234022813	9900234						03/28/13		
SPL	913	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	914	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	916	TAX INVOICE	02/28/13	Accounts Receivable	"Dr. Peter Mactaggart"	0.00	9900235022813	9900235						03/28/13		
SPL	917	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	918	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	920	TAX INVOICE	02/28/13	Accounts Receivable	"Brazier Motti"	232.60	9900236022813	9900236						03/28/13		
SPL	921	TAX INVOICE	02/28/13	Conferencing		-211.45			211.45	Conferencing		Y		GST	-21.15	GST
SPL	922	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	924	TAX INVOICE	02/28/13	Accounts Receivable	"Cengage Education"	0.00	9900237022813	9900237						03/28/13		
SPL	925	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	926	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	928	TAX INVOICE	02/28/13	Accounts Receivable	"Assoc. of Independent Schools of the NT I"	0.00	9900238022813	9900238						03/28/13		
SPL	929	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	930	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	932	TAX INVOICE	02/28/13	Accounts Receivable	"Cengage Learning"	40.48	9900239022813	9900239						03/28/13		
SPL	933	TAX INVOICE	02/28/13	Conferencing		-36.80			36.80	Conferencing		Y		GST	-3.68	GST
SPL	934	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	936	TAX INVOICE	02/28/13	Accounts Receivable	"Mitash "	525.00	9900240022813	9900240						03/28/13		
SPL	937	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	938	TAX INVOICE	02/28/13	Other Income		-477.27			477.27	Other Income		Y		GST	-47.73	GST
ENDTRNS																
TRNS	940	TAX INVOICE	02/28/13	Accounts Receivable	"Murrumbidgee GP Network"	0.00	9900241022813	9900241						03/28/13		
SPL	941	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	942	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	944	TAX INVOICE	02/28/13	Accounts Receivable	"ViewBay Consulting"	0.00	9900242022813	9900242						03/28/13		
SPL	945	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	946	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	948	TAX INVOICE	02/28/13	Accounts Receivable	"Syneka Pty Ltd"	0.00	9900243022813	9900243						03/28/13		
SPL	949	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	950	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	952	TAX INVOICE	02/28/13	Accounts Receivable	"Autism Spectrum Australia - Anthony Warre"	0.00	9900244022813	9900244						03/28/13		
SPL	953	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	954	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	956	TAX INVOICE	02/28/13	Accounts Receivable	"Durango Property Group Pty Ltd"	0.00	9900245022813	9900245						03/28/13		
SPL	957	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	958	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	960	TAX INVOICE	02/28/13	Accounts Receivable	"Return Pty Ltd"	0.00	9900246022813	9900246						03/28/13		
SPL	961	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	962	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	964	TAX INVOICE	02/28/13	Accounts Receivable	"Make A Wish"	184.32	9900247022813	9900247						03/28/13		
SPL	965	TAX INVOICE	02/28/13	Conferencing		-167.56			167.56	Conferencing		Y		GST	-16.76	GST
SPL	966	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	968	TAX INVOICE	02/28/13	Accounts Receivable	"Australian Photographic Society"	0.00	9900248022813	9900248						03/28/13		
SPL	969	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	970	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	972	TAX INVOICE	02/28/13	Accounts Receivable	"Cystic Fibrosis Victoria"	14.53	9900249022813	9900249						03/28/13		
SPL	973	TAX INVOICE	02/28/13	Conferencing		-13.21			13.21	Conferencing		Y		GST	-1.32	GST
SPL	974	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	976	TAX INVOICE	02/28/13	Accounts Receivable	"Sense of Security Pty Ltd"	0.00	9900250022813	9900250						03/28/13		
SPL	977	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	978	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	980	TAX INVOICE	02/28/13	Accounts Receivable	"Australian Boarding Schools Association L"	0.00	9900251022813	9900251						03/28/13		
SPL	981	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	982	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	984	TAX INVOICE	02/28/13	Accounts Receivable	"Rural Health Workforce Australia"	674.69	9900252022813	9900252						03/28/13		
SPL	985	TAX INVOICE	02/28/13	Conferencing		-598.35			598.35	Conferencing		Y		GST	-59.84	GST
SPL	986	TAX INVOICE	02/28/13	Other Income		-15.00			15.00	Other Income		Y		GST	-1.50	GST
ENDTRNS																
TRNS	988	TAX INVOICE	02/28/13	Accounts Receivable	"The Garvan Institute of Medical Research"	0.00	9900253022813	9900253						03/28/13		
SPL	989	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	990	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	992	TAX INVOICE	02/28/13	Accounts Receivable	"ACE Insurance Ltd"	3234.88	9900254022813	9900254						03/28/13		
SPL	993	TAX INVOICE	02/28/13	Conferencing		-2940.80			2940.80	Conferencing		Y		GST	-294.08	GST
SPL	994	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	996	TAX INVOICE	02/28/13	Accounts Receivable	"RHealth Limited"	0.00	9900255022813	9900255						03/28/13		
SPL	997	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	998	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	1000	TAX INVOICE	02/28/13	Accounts Receivable	"QuoteFast"	0.00	9900256022813	9900256						03/28/13		
SPL	1001	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	1002	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	1004	TAX INVOICE	02/28/13	Accounts Receivable	"Envy Jewellery"	0.00	9900257022813	9900257						03/28/13		
SPL	1005	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	1006	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
TRNS	1008	TAX INVOICE	02/28/13	Accounts Receivable	"Osborne GP Network"	0.00	9900258022813	9900258						03/28/13		
SPL	1009	TAX INVOICE	02/28/13	Conferencing		0.00			0.00	Conferencing		Y		GST	0.00	GST
SPL	1010	TAX INVOICE	02/28/13	Other Income		0.00			0.00	Other Income		Y		GST	0.00	GST
ENDTRNS																
